Day, CBG(from), id(from), CBG(to), id(to)
27, 171919552002, 1, 181730307052, 1
27, 450450038023, 1, 210219304001, 1
27, 061070024001, 1, 061070010031, 1
27, 390170111282, 1, 390170111101, 1
27, 150070406032, 1, 320310024091, 1
27, 081170001005, 1, 201730100042, 1
27, 420430201002, 1, 420710118051, 1
27, 490572105081, 1, 490111251032, 1
27, 340270416031, 1, 420110117022, 1
27, 311090037043, 1, 080410039022, 1
27, 340258086001, 1, 360850291031, 1
27, 120860001131, 1, 120860002123, 1
27, 211170647002, 1, 211170668002, 1
27, 120111001031, 1, 320030067001, 9
27, 320310035043, 2, 060570008024, 1
27, 220710134003, 1, 220710117002, 1
27, 450450028121, 1, 420912007072, 1
27, 061070023035, 1, 061070022041, 1
27, 371970505021, 1, 371970501023, 1
28, 530670122222, 1, 530539400031, 1
28, 420750039022, 1, 420893003043, 1
28, 481210214082, 1, 060770047043, 1
28, 211170636034, 1, 211510105001, 1
28, 120110106061, 1, 120110105041, 1
28, 150070406032, 1, 150070402042, 1
28, 171635032113, 1, 290318804003, 1
28, 060710020351, 1, 060710018031, 1
28, 540790206054, 2, 371719310031, 1
28, 170999617013, 1, 170999617011, 1
28, 490572105081, 1, 490039606022, 1
28, 210670039133, 1, 210290204002, 1
28, 060373012064, 1, 060373021022, 1
28, 310550054002, 1, 311530105015, 1
28, 131530211074, 1, 320030067001, 10
28, 171118715003, 1, 170898524014, 1
28, 450450028121, 1, 450450033041, 1
28, 210930016004, 1, 211239601011, 1
28, 220150112006, 1, 220150111083, 1
28, 060371863012, 1, 060371864032, 1
28, 181730307052, 1, 180510504021, 1
28, 201730100042, 1, 484391132101, 1
28, 320030067001, 9, 080010090012, 1
29, 420750039022, 1, 420430245033, 1
29, 450450038023, 1, 470039504013, 1
29, 310550057001, 1, 191290401004, 1
29, 481210214082, 1, 400850942002, 1
29, 490351125021, 1, 490351129212, 1
29, 370670026043, 1, 370670026032, 1
29, 170999617013, 1, 171030009001, 1
29, 311090037043, 1, 311090037141, 1
29, 210670039133, 1, 210670024001, 1
29, 410470103053, 1, 410670307001, 1
29, 310550054002, 1, 120330012013, 1
29, 371899205001, 1, 371939610023, 1
29, 180839554003, 1, 180839552005, 1
29, 360595203004, 1, 360595209003, 1
29, 450450028121, 1, 450450030132, 1
29, 460819663021, 1, 460079410002, 1
29, 490111258071, 1, 490111271004, 1
29, 220150112006, 1, 220150104002, 2
29, 180290805001, 1, 180290802024, 1
29, 420770062042, 1, 090091545004, 1
29, 061070023035, 1, 061070031001, 1
29, 170318031001, 1, 170314804004, 1
29, 131530201091, 1, 040190043291, 1
29, 160659503021, 2, 160659505002, 1
29, 181730307052, 1, 180510503001, 1
29, 390170111101, 1, 210670035042, 1
29, 490111251032, 1, 490111251031, 1
29, 360850291031, 1, 340258101021, 1
29, 120860002123, 1, 120860131001, 1
29, 211170668002, 1, 390719544004, 1
29, 320030067001, 9, 320030036222, 1
29, 060570008024, 1, 060670093142, 1
29, 420893003043, 1, 420893003041, 1
29, 320030067001, 10, 320030058383, 1
29, 450450033041, 1, 471630414001, 1
29, 211239601011, 1, 211239603002, 1
30, 320030067001, 8, 060379203281, 1
30, 270530269071, 1, 271711001005, 1
30, 120111001031, 1, 060374010012, 1
30, 180839554003, 1, 180279544002, 1
30, 060190081001, 1, 060190079022, 1
30, 220150112006, 1, 220150113002, 1
30, 171179567002, 1, 171194035024, 1
