day,cbg,susceptible,infectious,recovered
19,320079515002,752,1,0
19,370670026042,1656,1,0
19,160659503012,972,1,0
20,410470102011,1355,0,1
20,120150207003,834,0,1
20,490111268012,916,0,1
20,61070023022,2426,0,1
20,320030067001,431,2,3
20,420430246003,3085,0,1
20,530630136002,2848,0,1
20,60590524221,1657,1,0
20,60670057013,1124,1,0
20,160270212003,4765,1,0
20,61070029041,2939,1,0
20,120110802001,909,1,0
20,320030058442,2631,1,0
20,60190054072,2144,1,0
20,211170640004,922,1,0
20,120570141191,7678,1,0
20,410510072021,3093,1,0
20,310550044001,476,1,0
20,461030114002,1943,1,0
20,310550074652,1126,1,0
20,450450030091,4162,1,0
20,171919552003,906,1,0
20,120570133122,1905,1,0
20,120150104041,966,1,0
21,60190066044,1028,0,1
21,390170111211,3412,0,1
21,320310035043,2933,0,1
21,190852905001,1048,0,1
21,60770025042,1829,0,1
21,60190065022,3255,1,0
21,61070012001,1244,0,1
21,160270218001,2235,0,1
21,61070024002,1473,0,1
21,370370202004,2547,1,0
21,181039527003,1477,1,0
21,390610057024,773,1,0
21,320030067001,430,3,3
21,120710019062,6672,1,0
21,420970810003,704,1,0
21,61070023034,1479,1,0
21,490451307021,3873,1,0
21,540790206013,3096,1,0
21,170438465183,1464,1,0
21,460930203012,4087,1,0
21,170259722001,1745,1,0
22,490572016004,797,0,1
22,60133551151,7980,0,1
22,450450028162,5164,0,1
22,120860001341,868,1,0
22,120860039212,517,0,1
22,410670334001,992,0,1
22,490170003002,1362,0,1
22,60670085081,3042,0,1
22,310550065062,943,0,1
22,61070031002,2023,0,1
22,320030067001,429,4,3
22,490490014024,2030,1,0
22,530670122222,5339,1,0
22,410470103032,1864,1,0
22,310550074321,738,1,0
22,210279601004,2112,1,0
22,120570060004,397,1,0
22,420730008002,2076,1,0
22,540790206012,1442,1,0
22,220150104002,593,1,0
22,490451306002,978,1,0
22,370590802001,2431,1,0
22,60375703031,1989,1,0
22,60670076021,1405,1,0
22,120860002024,2092,1,0
22,320030033201,3184,1,0
22,210819201003,3066,1,0
22,171919552002,1236,1,0
23,211170638001,552,0,1
23,60855037071,2932,0,1
23,60133372005,1457,0,2
23,490490015032,1661,0,1
23,120710012023,1212,0,1
23,120570141091,5245,0,1
23,420750039022,2194,1,0
23,420430224011,2214,0,1
23,530630009006,2329,0,1
23,61070003013,1241,0,1
23,310550024003,792,0,1
23,160010102252,3325,0,1
23,390170111112,1652,0,1
23,450450038023,2129,1,0
23,310550057001,847,1,0
23,481210214082,2575,1,0
23,540790206037,1091,1,0
23,490111267002,983,1,0
23,60590524233,1984,1,0
23,61070024001,6356,1,0
23,211170636034,4606,1,0
23,180973219002,1930,1,0
23,191290402021,2059,1,0
23,450450028162,5163,1,1
23,180571110071,2681,1,0
23,390170111282,1915,1,0
23,170318026093,981,1,0
23,461030102004,988,1,0
23,211779602005,1209,1,0
23,120110106061,2296,1,0
23,150070406032,538,1,0
23,81170001005,1113,1,0
23,171635032113,2080,1,0
24,461030116005,3667,0,1
24,410050226061,5496,0,1
24,60014105001,2704,0,1
24,410470103031,2749,0,1
24,60710020351,4957,1,0
24,60590744031,3509,0,1
24,311530107011,1391,0,1
24,450450039043,2966,0,1
24,120860090381,8425,1,1
24,191290403021,1424,1,0
24,310550074343,1433,0,1
24,61070023031,1320,0,1
24,160659503022,8125,0,1
24,120570122064,1909,0,1
24,490351125021,1220,1,0
24,540790206054,2984,2,0
24,370670026043,2442,1,0
24,310550074665,723,1,0
24,420430201002,1292,1,0
24,170999617013,2124,1,0
24,461030104001,1531,1,0
24,171018807003,946,1,0
24,420730001002,2789,1,0
24,490572105081,2508,1,0
24,340270416031,2361,1,0
24,311090037043,957,1,0
24,340258086001,2096,1,0
24,170318030121,2049,1,0
25,120150103011,1546,0,1
25,490351122022,1438,0,1
25,540790206054,2984,1,1
25,61070003016,1245,0,1
25,320030067001,429,3,4
25,320030067001,429,2,5
25,320030067001,428,3,5
25,120860090381,8425,0,2
