poi_cbg_source,poi_cbg_destination,number_of_visitors,probability
510594151001,510594811032,6,0.0008719662839703532
510594151001,510594825011,6,0.0008719662839703532
510594151001,510594826021,6,0.0008719662839703532
510594151001,510594922033,12,0.0017439325679407063
510594151001,516003001002,3,0.0004359831419851766
510594151002,510594151001,23,0.001683378467393691
510594151002,510594151002,1495,0.10941960038058991
510594151002,510594152001,117,0.008563273073263558
510594151002,510594152002,9,0.000658713313327966
510594151002,510594152003,275,0.02012735124057674
510594151002,510594152004,583,0.04266998463002269
510594151002,510594153001,95,0.00695308497401742
510594151002,510594153002,6,0.0004391422088853107
510594151002,510594153003,89,0.006513942765132109
510594151002,510594154011,24,0.0017565688355412428
510594151002,510594154013,97,0.0070994657103125225
510594151002,510594154021,6,0.0004391422088853107
510594151002,510594154023,225,0.01646783283319915
510594151002,510594155001,57,0.004171850984410452
510594151002,510594155002,9,0.000658713313327966
510594151002,510594155003,219,0.016028690624313842
510594151002,510594158001,174,0.01273512405767401
510594151002,510594158003,35,0.002561662885164312
510594151002,510594159001,21,0.0015369977310985875
510594151002,510594160001,14,0.001024665154065725
510594151002,510594161001,12,0.0008782844177706214
510594151002,510594162001,18,0.001317426626655932
510594151002,510594202011,3,0.00021957110444265535
510594151002,510594202031,3,0.00021957110444265535
510594151002,510594203004,9,0.000658713313327966
510594151002,510594204001,9,0.000658713313327966
510594151002,510594204002,27,0.001976139939983898
510594151002,510594205011,32,0.002342091780721657
510594151002,510594205022,101,0.00739222718290273
510594151002,510594205031,27,0.001976139939983898
510594151002,510594205032,75,0.005489277611066384
510594151002,510594205033,3,0.00021957110444265535
510594151002,510594206001,72,0.005269706506623728
510594151002,510594206002,41,0.003000805094049623
510594151002,510594208002,49,0.0035863280392300374
510594151002,510594210011,1932,0.14140379126107006
510594151002,510594210021,2204,0.16131157139720412
510594151002,510594210022,30,0.0021957110444265535
510594151002,510594211034,94,0.006879894605869867
510594151002,510594213002,14,0.001024665154065725
510594151002,510594214001,588,0.04303593647076045
510594151002,510594214004,29,0.0021225206762790017
510594151002,510594215001,266,0.019468637927248775
510594151002,510594215002,667,0.04881797555441704
510594151002,510594216003,72,0.005269706506623728
510594151002,510594217011,3,0.00021957110444265535
510594151002,510594218001,9,0.000658713313327966
510594151002,510594218002,81,0.005928419819951694
510594151002,510594218003,36,0.002634853253311864
510594151002,510594219002,9,0.000658713313327966
510594151002,510594221013,6,0.0004391422088853107
510594151002,510594222021,3,0.00021957110444265535
510594151002,510594222022,3,0.00021957110444265535
510594151002,510594223011,25,0.0018297592036887946
510594151002,510594223021,78,0.005708848715509039
510594151002,510594223022,6,0.0004391422088853107
510594151002,510594223024,30,0.0021957110444265535
510594151002,510594224021,142,0.010393032276952353
510594151002,510594224022,6,0.0004391422088853107
510594151002,510594224031,6,0.0004391422088853107
510594151002,510594224032,3,0.00021957110444265535
510594151002,510594304003,12,0.0008782844177706214
510594151002,510594306001,3,0.00021957110444265535
510594151002,510594306003,15,0.0010978555222132768
510594151002,510594306004,51,0.003732708775525141
510594151002,510594309011,3,0.00021957110444265535
510594151002,510594316003,45,0.00329356656663983
510594151002,510594322011,3,0.00021957110444265535
510594151002,510594402011,39,0.0028544243577545195
510594151002,510594402023,9,0.000658713313327966
510594151002,510594405021,3,0.00021957110444265535
510594151002,510594405023,6,0.0004391422088853107
510594151002,510594408003,9,0.000658713313327966
510594151002,510594503004,3,0.00021957110444265535
510594151002,510594508003,6,0.0004391422088853107
510594151002,510594515012,12,0.0008782844177706214
510594151002,510594515022,3,0.00021957110444265535
510594151002,510594519001,15,0.0010978555222132768
510594151002,510594523011,6,0.0004391422088853107
510594151002,510594525011,9,0.000658713313327966
510594151002,510594525021,3,0.00021957110444265535
510594151002,510594525023,6,0.0004391422088853107
510594151002,510594526001,3,0.00021957110444265535
510594151002,510594604003,6,0.0004391422088853107
510594151002,510594605021,3,0.00021957110444265535
510594151002,510594612022,96,0.007026275342164971
510594151002,510594701001,3,0.00021957110444265535
510594151002,510594703001,348,0.02547024811534802
510594151002,510594713011,18,0.001317426626655932
510594151002,510594802021,18,0.001317426626655932
510594151002,510594802022,2481,0.18158530337407597
510594151002,510594808022,6,0.0004391422088853107
510594151002,510594824001,6,0.0004391422088853107
510594151002,510594825011,3,0.00021957110444265535
510594151002,510594825033,6,0.0004391422088853107
510594151002,510594917011,3,0.00021957110444265535
