GeoId,Population
510594809031,1017
510594809032,1584
510594809033,1702
510594810001,2733
510594810002,3670
510594811011,2597
510594811021,3560
510594811022,384
510594811031,1811
510594811032,1817
510594811041,1568
510594811042,1052
510594811043,544
510594811051,1774
510594811052,2203
510594811053,1437
510594811061,980
510594811062,2022
510594811063,2435
510594812011,1154
510594812021,2572
510594812022,1547
510594812023,1969
510594814001,1139
510594814002,2505
510594814003,2027
510594814004,1533
510594815001,2252
510594816001,1904
510594816002,1510
510594817011,2045
510594817012,2549
510594817013,1748
510594817021,1801
510594817022,2036
510594817023,719
510594819001,2710
510594819002,1475
510594819003,2039
510594820011,1111
510594820012,2780
510594820013,780
510594820021,1734
510594820022,1532
510594821001,1459
510594821002,2048
510594822011,2534
510594822021,932
510594822022,968
510594822023,923
510594822024,1317
510594822031,934
510594822032,920
510594822033,1033
510594822034,1544
510594823011,1969
510594823012,2798
510594823021,2300
510594823022,2487
510594823031,1235
510594823032,918
510594823033,1418
510594824001,2235
510594825011,2547
510594825012,1107
510594825013,4401
510594825014,1779
510594825015,865
510594825021,756
510594825022,2110
510594825031,1947
510594825032,862
510594825033,2049
510594825041,1905
510594825042,1860
510594825043,1280
510594826011,1828
510594826012,3620
510594826013,1741
510594826021,1955
510594826022,1838
510594826023,1721
510594826024,1890
510594901011,1585
510594901012,1964
510594901013,2082
510594901031,1693
510594901032,2273
510594901033,1518
510594901034,1147
510594905011,1372
510594905012,2031
510594905021,2129
510594905022,1548
510594905023,3002
510594910001,1831
510594911011,1740
510594911012,2037
510594911021,1760
510594911022,1430
510594911031,1954
510594911032,2370
510594911033,1131
510594911034,755
510594912011,802
510594912012,2565
510594912013,2066
510594912014,796
510594912021,1842
510594913011,726
510594913012,2711
510594913013,1670
510594913014,2365
510594913021,2460
510594913022,951
510594913031,1546
510594913032,2919
510594914011,1603
510594914012,1702
510594914013,884
510594914014,503
510594914021,2390
510594914022,2281
510594914031,2460
510594914032,1304
510594914041,1359
510594914042,2487
510594914051,2825
510594915011,3737
510594915012,2087
510594915013,1557
510594915021,3106
510594915022,2413
510594915023,1425
510594916011,1094
510594916012,2510
510594916013,1327
510594916021,3109
510594916022,2510
510594917011,757
510594917012,1897
510594917013,1395
510594917021,1074
510594917022,1567
510594917023,2073
510594917024,872
510594917025,1625
510594917031,2378
510594917032,1195
510594917033,1398
510594917041,1188
510594917042,1546
510594917043,2203
510594917051,3338
510594918011,1233
510594918012,1324
510594918021,1455
510594918022,1532
510594918031,2755
510594918032,1369
510594918033,3030
510594920001,2500
510594920002,2163
510594920003,1957
510594921001,1975
510594921002,1455
510594921003,1785
510594921004,950
510594922011,1942
510594922012,1091
510594922021,1576
510594922022,2965
510594922023,1934
510594922031,723
510594922032,1476
510594922033,1900
510594923001,1809
510594923002,1483
510594924001,2091
510594924002,2685
510594925001,1995
510594925002,1860
510599801001,5
510599802001,0
510599803001,0
516003001001,1511
516003001002,1170
516003001003,1955
516003001004,1031
516003002001,797
516003002002,1576
516003002003,1126
516003002004,1320
516003003001,1764
516003003002,2120
516003003003,1462
516003004001,1582
516003004002,745
516003004003,1805
516003005001,897
516003005002,1224
516003005003,1446
